variable_id,description,type,source
sid,"unique id of sample		",numeric,
year,year associated with sample,integer (YYYY),
fiber_id,"wood fiber concession ID		",string,Global Forest Watch. Indonesia wood fiber concessions (2018)
adm_4,desa or village name (4th order administrative level),string,Database of Global Administrative Areas (GADM) v3.4
for_2000,real forests in year 2000,boolean (1=true/0=false),Hansen/UMD/Google/USGS/NASA
rand,random value for sorting or subsampling,numeric (decimal portion of 1),
gun_2010,land cover class code for year 2010,integer,"Gunarso P, Hartoyo ME, Agus F, Killeen TJ. Oil palm and land use change in Indonesia, Malaysia and Papua New Guinea (2013)"
kh_2005,located on 'kawasan hutan' (forest land use zone) in year 2005,boolean (1=true/0=false),"Kementerian Lingkungan Hidup dan Kehutanan (KLHK), Indonesia"
peat,located on peat,boolean (255=yes/1=false),"Wahyunto et. al. Indonesia Peatland Map: Method, Certainty and Uses (2014)"
adm_3,kecamatan name (3rd order administrative level),string,Database of Global Administrative Areas (GADM) v3.4
on_fiber,located on wood fiber concession,boolean (1=true/0=false),
index,"index value generated for sample in python		",integer,
gun_2000,"land cover class code for year 2000		",integer,"Gunarso P, Hartoyo ME, Agus F, Killeen TJ. Oil palm and land use change in Indonesia, Malaysia and Papua New Guinea (2013)"
est_year,estimated year of establishment of mill,integer,
adm_0,country name,string,Database of Global Administrative Areas (GADM) v3.4
log_id,"logging concession ID		",string,Global Forest Watch. Managed forest concessions (2018)
.geo,geographic information of sample created in Google Earth Engine,string,
kh_2018,located on 'kawasan hutan' (forest land use zone) in year 2018,boolean (1=true/0=false),"Kementerian Lingkungan Hidup dan Kehutanan (KLHK), Indonesia"
geometry,"geographic information of sample created in geopandas package in python		",string,
elev,elevation in metres,numeric,SRTM Digital Elevation Model version 4 - NASA/CGIAR
grp_id,"corporate group ID		",string,
forcover,tree cover in the year 2000 defined as canopy closure for all vegetation taller than 5m in height,"integer (percent,0-100)",Hansen/UMD/Google/USGS/NASA
desa_code,code of desa or village (4th order administrative level) used as management unit,string,Database of Global Administrative Areas (GADM) v3.4
gun_2005,land cover class code for year 2005,integer,"Gunarso P, Hartoyo ME, Agus F, Killeen TJ. Oil palm and land use change in Indonesia, Malaysia and Papua New Guinea (2013)"
lat,"latitude of sample		",numeric,
system:index,index value generated for sample from Google Earth Engine data extraction,string,
plant_2000,plantation in year 2000,boolean (True/False),
"propid			",,string,
lon,"longitude of sample		",numeric,
ci_year,certification intent year of mill,integer (YYYY),Roundtable on Sustainable Palm Oil (RSPO)
on_logging,located on logging concession,boolean (1=true/0=false),
primary,located in primary forest,boolean (1=true/0=false),Margono et. al. Primary forest cover loss in Indonesia over 2000–2012 (2014)
adm_2,kabupaten name (2nd order administrative level),string,Database of Global Administrative Areas (GADM) v3.4
lossyear,year of forest loss,integer (YYYY),Hansen/UMD/Google/USGS/NASA
conc_class,concession class,integer (1 - oil palm concession/2 - rspo member concession/3 - ever-certified concession),
plant_code,"plantation code	",string,
adm_1,province name (1st order administrative level),string,Database of Global Administrative Areas (GADM) v3.4
island,island name,string,Database of Global Administrative Areas (GADM) v3.4
temp,mean land surface temperature for a specific year (degrees Kelvin scaled by 0.02),numeric,MODIS derived Land Surface Temperatures (MOD11A2) 
precip,mean precipitation estimate for a specific year (millimetres/hour),numeric,Tropical Rainfall Monitoring Mission (TRMM) derived 3-hourly precipitation estimates 
"pcct			",,numeric,
"cmcap			",sum of certified capacity,numeric,
"cmcnt			",count of certified capacity,numeric,
mcap,"mill capacity		",numeric,
"mcnt			",,numeric,
pccp,certified share of local mill capacity,numeric (decimal portion of 1),
cdist,distances to certified concessions (meters),numeric,
ndist,,numeric,
"cert_now			",certified in specific year,boolean (1=true/0=false),
"cert			",,boolean (1=true/0=false),
"forest			",forest in specific year,boolean (1=true/0=false),
"ignore			",,boolean (1=true/0=false),
"no_change			",,boolean (True/False),
g_cert_shr,certified share of mill parent company's holdings,numeric (decimal portion of 1),
"g_cert_shr_adj			",,numeric (decimal portion of 1),
